mmsi,ship_name,flag,window,episode_start,episode_end,duration_h,n_bins,continuity,centroid_lat,centroid_lon,radius_km,dwell_tier,location_class,nearest_facility,nearest_facility_km,resident_fixture,domestic_flag,dwell_score,trigger_category,escalate
636023001,LIMA TRADER,LBR,india_mangalore_dec2025_jan2026,2025-12-15 15:00:00+00:00,2025-12-21 01:00:00+00:00,130.0,131,1.0,12.93,74.82,0.0,extended,open_water,Jamnagar (Sikka) marine terminal,1186.14,False,False,3,,False
371651000,TAI SUCCESS,PAN,india_mangalore_dec2025_jan2026,2025-12-29 10:00:00+00:00,2026-01-03 19:00:00+00:00,129.0,130,1.0,12.93,74.82,0.0,extended,open_water,Jamnagar (Sikka) marine terminal,1186.14,False,False,3,,False
419001984,,IND,india_mangalore_dec2025_jan2026,2025-12-01 02:00:00+00:00,2025-12-06 11:00:00+00:00,129.0,124,0.954,12.93847,74.81806,4.608,extended,open_water,Jamnagar (Sikka) marine terminal,1185.2,False,False,3,,False
354332000,TAN BINH 259,PAN,india_mangalore_dec2025_jan2026,2026-01-04 14:00:00+00:00,2026-01-09 21:00:00+00:00,127.0,127,0.992,12.93,74.82,0.0,extended,open_water,Jamnagar (Sikka) marine terminal,1186.14,False,False,3,,False
538006490,SILVER EBALINA,MHL,india_mangalore_dec2025_jan2026,2025-12-15 07:00:00+00:00,2025-12-20 11:00:00+00:00,124.0,125,1.0,12.96712,74.65408,1.019,extended,open_water,Jamnagar (Sikka) marine terminal,1174.54,False,False,3,,False
419000177,VISHVA BANDHAN,IND,india_mangalore_dec2025_jan2026,2025-12-04 16:00:00+00:00,2025-12-09 19:00:00+00:00,123.0,124,1.0,12.94,74.69178,0.891,extended,open_water,Jamnagar (Sikka) marine terminal,1179.03,False,False,3,,False
538009291,FIVOS,MHL,india_mangalore_dec2025_jan2026,2025-12-05 02:00:00+00:00,2025-12-10 04:00:00+00:00,122.0,123,1.0,12.93,74.82,0.0,extended,open_water,Jamnagar (Sikka) marine terminal,1186.14,False,False,3,,False
419001654,KAVIRAJ,IND,india_mangalore_dec2025_jan2026,2025-12-29 15:00:00+00:00,2026-01-03 16:00:00+00:00,121.0,112,0.918,12.90438,74.65697,3.042,extended,open_water,Jamnagar (Sikka) marine terminal,1180.96,False,False,3,,False
419001984,,IND,india_mangalore_dec2025_jan2026,2025-12-15 04:00:00+00:00,2025-12-20 05:00:00+00:00,121.0,122,1.0,12.93803,74.81787,4.568,extended,open_water,Jamnagar (Sikka) marine terminal,1185.24,False,False,3,,False
538009334,COMMON ATLAS,MHL,india_mangalore_dec2025_jan2026,2025-12-08 08:00:00+00:00,2025-12-13 07:00:00+00:00,119.0,120,1.0,12.97,74.63983,1.066,extended,open_water,Jamnagar (Sikka) marine terminal,1173.58,False,False,3,,False
